,0
0,"Azura: You are the ocean's gray waves, destined to seek ♪  Life beyond the shore, just out of reach."
1,"Azura: Yet the waters ever change, flowing like time ♪ The path is yours to climb."
2,"Ryoma: Nohrian general! You face the high prince of Hoshido, Ryoma! I challenge you to single combat!"
3,"Xander: I will accept your challenge, ""high prince"". But I'm no general. I am crown prince Xander of Nohr!"
4,"Hinoka: Come on, Corrin! We've got work to do."
5,"Hinoka: Corrin, what's the matter with you? You seem distracted... If you're worried, don't be. All your siblings are here with you. The Nohrians don't stand a chance!"
6,Hinoka: Ready to attack?
7,"Ryoma: I demand to know why you Nohrian dogs are invading Hoshido! Was that cowardly attack on my people your doing as well, princeling?"
8,Xander: ...I have nothing to say to you. Surrender now. If you refuse...you die here.
9,"Elise: Oh, no! The bridge collapsed! How can we help our brother/sister now?"
10,"Camilla: Not to worry, Elise. This royal blood in our veins is still good for something!"
11,"Leo: Have you spotted a Dragon Vein, Camilla?"
12,"Camilla: You know me too well, dear little brother!"
13,"Elise: Yaaay, it worked! The river dried up!"
14,"Camilla: I would never let you down, darling. Now, everyone follow me."
15,"Leo: Elise, you're not ready for the front lines. Stay back. Camilla, and I will take care of the Hoshidans."
16,Hinoka: The Nohrian army used a Dragon Vein to dry up the river! But I thought only royals held that power...
17,"Takumi: Yeah, which means there must be some real big shots over there. Suit me just fine. I've always wanted to use a Nohrian royal for target practice!"
18,"Hinoka: Stay focused, Corrin. The Nohrians brought their heavy hitters this time."
19,"Hans: Listen up, cannon fodder! We have a direct order from King Garon. He says kill 'em all!"
20,"Hinoka: Dammit, their reinforcements had arrived! I'll go scout out how many there are. Takumi, Sakura, Stay with Corrin!"
21,Takumi: Understood.
22,Sakura: Y-yes. Good idea.
23,"Takumi: Hang in there, Corrin. The Nohrian royals are not pushovers... We'll have to work together to beat them. As the eldest, I guess you're in charge. Tell me what to do and I'll do it."
24,"Sakura: Are you hurt, Corrin!? Here, let me heal your wounds!"
25,Yukimura: Comrades! Do not let them cross this line. We must defend Hoshido.
26,Sakura: Oh n-no! An enemy!
27,"Takumi: It's an ambush! Sakura, stay back. You aren't equipped to fight."
28,Hinoka: Takumi! Corrin! I'm counting on you two. Work together to defeat that solider!
29,"Takumi: [upon selecting] Listen, here's how we're gonna do this! With my bow, I can shoot this one from here. I'll soften him up, and then you can jump in and finish him off. Got it?"
30,"Sakura: [upon selecting] Be careful, Corrin!"
31,"Hinoka: Corrin, Takumi, good work fighting off that ambush."
32,"Sakura: You were amazing, Corrin."
33,"Takumi: That went well. Probably because SOMEONE gave you good advice. ...And you're welcome, by the way."
34,Hinoka: No time to talk! Let's see how Ryoma's doing.
35,"Hinoka: The enemy is still upon us, but we have bigger fish to fry. We need to retreat. Quickly, to Ryoma!"
36,"Hinoka: Ryoma, are you alright?"
37,"Ryoma: I'll be fine. I'm glad to see you're all safe. Enemy reinforcements are headed this way. I want you to get rid of them. Corrin, I'm counting on you to keep Hinoka and the others safe."
38,"Xander: Corrin! Thank heavens we found you, and that you're alive and well. Quickly, come join us! Your family has come to take you home where you belong."
39,"Ryoma: Quiet, Nohrian filth! Corrin is my brother/sister and a prince/princess of Hoshido!"
40,"Xander: On the contrary, Corrin is MY brother/sister and a prince/princess of Nohr!"
41,Camilla: Corrin! I was so worried about you. Don't ever wonder away from me again!
42,"Leo: I'm glad you're OK, Corrin. You must have the devil's own luck!"
43,Elise: Yaaay! We got our brother/sister back!
44,"Hinoka: Nohrian scum! First you kidnap him/her, now you lied to him/her?! Corrin is MY brother/sister, not yours!"
45,Camilla: You are mistaken. Corrin is my sweet little brother/sister. You may not have him/her.
46,Ryoma: Don't be fool by their words. You belong with your true family in Hoshido!
47,"Xander: We have loved you and raised you since you were a child. Come home, little prince/princess. We can live as a family once more!"
48,"Ryoma: Come home to Hoshido, Corrin!"
49,"Xander: No, Corrin! Nohr is your home!"
50,"Flora: Time to wake up, Lord/Lady Corrin!"
51,"Felicia: Hey, wake up, Lord/Lady Corrin! Up and at 'em!"
52,Corrin: Hrmmm...What are you talking about? It's still dark outside.
53,"Gunter: Listen well, Prince(ss). It may be dark, but it is indeed in the morning. You have practice today."
54,"Jakob: I have taken the liberty of reading your armor, and, er, pounding out the dents. Your brother is a fearsome opponent, is he not?"
55,Corrin: Ugh. Fine. I'm still not completely awake though...
56,"Flora: Oh, we can help you with that! Felicia, would you please assist me?"
57,Felicia: Sure thing!
58,Corrin: Waauuugh! Cold cold cold! I'm awake! Totally awake now!
59,Flora: That's how we deal with slugabeds in the Ice Tribe!
60,"Corrin: *sigh* Trust me, I know. I wish I could have finished the dream I was having though..."
61,Jakob: Interesting. Do tell-what kind of dream was it?
62,Corrin: It was...strange. Some people who look like Hoshidans kept calling me their brother/sister. But all of my brothers and sisters are here in Nohr...
63,"Flora: Ah, Lord/Lady Corrin, perhaps we should talk about your dream another time?"
64,"Felicia: It's time for you to get going, milord/milady. Prince Xander is waiting for you!"
65,"Leo: That's our brother/sister for you. You won't beat the strongest knight in Nohr by sleeping all day, Corrin!"
66,"Xander: Giving up so soon, Corrin? I expect more of you. You are a prince/princess of Nohr! Pick up your sword and try again."
67,"Corrin: But, Xander, I-"
68,Xander: We train like this so that we can defend ourselves from our enemies. Father has been tracking your progress. If you can't land a hit on me today...he may never permit you to leave the Northern Fortress. Ever.
69,Corrin: What?! D-did he really say that? That's insane!
70,"Xander: Motivated, are we? Then use that fire to best me in battle, little Prince/Princess. If you would see the outside world beyond the view from your window, defeat me. Prove that all of the time I've devoted to training you have not be in vain!"
71,"Xander: The first move is yours, Corrin. Come at me when you are ready."
72,"Xander: You swing timidly, without resolve. You must genuinely try to kill me."
73,Corrin: *pant*...*pant*...
74,"Xander: Hmm, looks like that wound needs attention. In that case..."
75,Corrin: Ah! There was a Dragon Vein here?
76,"Xander: Yes. You should have sensed it as well. The blood of dragons flows in your veins, as it does in all royals. You must learn to harness this draconic power wherever you may find it. Heal your wounds, Corrin, then find the courage to come at me again."
77,"Xander: Good. Now that you've recovered some of your strength, try again!"
78,"Xander: Well done, Corrin."
79,Corrin: Brother... how are you... so strong...?
80,Xander: Is that all it takes to defeat you? What a shame. I guess you don't wish to leave this fortress after all...
81,"Xander: Well done, Corrin. You're getting stronger every day."
82,"Corrin: Thanks, Xander. I couldn't have done it without your, uh, tough love."
83,"Xander: I disagree. I believe you have natural talent. Some day, you could be the greatest warrior in all of Nohr."
84,Corrin: Now you're just teasing me.
85,"Xander: You know me, Corrin. I never joke about serious matters. I mean what I say. You could be the one to bring light to our kingdom so long shrouded in darkness."
86,Corrin: Xander...
87,"Leo: Typical. You know that true strength is more than simple swordplay, right?"
88,"Corrin: Leo, he didn't mean-"
