,0
0,"Note: This is from the international version of Fire Emblem Awakening.
"
1,Advertisement
2,Chrom: Up there! [points up]
3,Validar: ' [offscreen] You fool!
4,Validar:  *laughs* Die!
5,"Chrom: This is it! Our final battle! You're one of us, Robin, and no ""destiny"" can change that. Now let's kill this dastard and be done with it!"
6,"Chrom: Robin, we have to get closer. Let's move!"
7,"Chrom: [upon being selected] All right, my turn."
8,"Chrom: [if Robin is selected] Go ahead, Robin!"
9,Validar: Ha ha ha! Why do you resist?
10,"Chrom: Good, he's almost within reach. Let's move in and strike!"
11,Validar: Gya ha ha! Fools! Struggle all you want! You cannot unwrite what is already written!
12,"Chrom: Robin, I...I'm Sorry. Just..run while you can..."
13,Validar: Gya ha ha! You can't escape it! That's why it's called destiny!
14,Chrom: Robin! No! This can't be how it ends!
15,Validar: Heh heh heh... GYA HA HA HA!
16,Validar: This isn't over... Damn you BOTH!
17,Chrom: Are you all right? That's the end of him. Thanks to you we carried the day. We can rest easy now. 
18,Chrom: At long last...
19,"Chrom: ...What's wrong? Hey, hang on—"
20,"Chrom: This is not your— your fault... Promise me you'll escape from this place... Please, go..."
21,"Lissa: Chrom, we have to do SOMETHING."
22,"Chrom: Well, what do you propose we do?"
23,Lissa: Uh... I don't know!... (turns from Chrom to the waking person)
24,Chrom: I see you're awake now.
25,Lissa: Hey there! (chuckles)
26,"Chrom: There are better places to take a nap than on the ground, you know. [holds his hand out to the person] Give me your hand."
27,Chrom: You all right?
28,"Robin: Y-yes... Thank you, Chrom."
29,"Chrom: Ah, then you know who I am?"
30,"Robin: No, actually. I... It's strange... Your name, it just...came to me..."
31,"Chrom: ...Hmm, how curious. Tell me, what's your name? What brings you here?"
32,Robin: My name is... It's... Hmm?
33,Chrom: ...You don't remember your own name?
34,"Robin: I'm not sure if... I'm sorry, but where am I, exactly?"
35,"Lissa: Hey, I've heard of this! It's called amnesia!"
36,"Frederick (unconvinced): It's called a load of pegasus dung. (to Robin) We're to believe you remember milord's name, but not your own?"
37,Robin: B-but it's the truth!
38,"Chrom: ...What if it IS true, Frederick? We can't just leave him/her here, alone and confused. What sort of Shepherds would we be then?"
39,"Frederick: Just the same, milord. I must emphasize caution. 'Twould not do to let a wolf into our flock."
40,Chrom: Right then—we'll take him/her back to town and sort this out here.
41,Robin: Wait just one moment. Do I have a say in this?
