,0
0,Advertisement
1,"Barely escaping the burning of Castle Leonster with his life, the young Prince Leif was looked after by Finn, his knight and retainer. Together with Nanna, a young noblewoman under Finn's care, the trio fled pursuers sent by the conquerors of North Thracia: the Grannvale Empire, which lay to the west.
"
2,"Yet Finn proved stronger than those who hunted them, and the three made their way to the cities of Ulster and Tahra, posing as common vagrants. Eventually, they drifted into Fiana, a small village on Thracia's eastern coast. Fiana was an independent community with its own militia, the Fiana Freeblades, led by the swordswoman Eyvel. Eyvel welcomed Leif's group as if they were her own kin. Under her watchful eye, the deposed prince spent his childhood in Fiana, growing into maturity alongside youths of common birth. Now, in year 776 of the Grannvale calendar...
"
3,Raydrik: Have you found that whelp of a prince yet?
4,"Weissman: Regretfully not, milord. The men have searched the village top to bottom, but came up with nOsiang."
5,Raydrik: Why is such a simple task taking you so long? There's little doubt that the heir to House Leonster is hiding here. You've been too gentle with these villagers—give them ample motivation to talk.
6,"Weissman: We are of the same mind, milord—I've already ordered the men to do as much. Yet the townsfolk claim the prince isn't here. According to them, he left with the Freeblades to fend off a pirate raid on a nearby village."
7,Raydrik: Freeblades? What nonsense is that?
8,"Weissman: They're the local militia, sire. As I understand it, this village was once home to a group of brigands—rather savage ones, at that. About a decade ago, they were routed by Eyvel, a wandering sellsword. She claimed the village as her own and founded the Freeblades to protect the region from future attacks. She's supposedly quite a wonder with a sword..."
9,Raydrik: Hmm... She may be a problem.
10,"Weissman: You have nOsiang to fear, milord: we've taken Eyvel's daughter captive. What's more, we also captured the daughter of Finn, the very knight guarding the prince's life. With the leverage we have over them, they'll have no choice but to surrender."
11,"Raydrik: Hmph. I admit, you have your uses, Weissman. The women will accompany me back to Munster. You'll remain here and prepare for when these upstart rebels return. See that the young Leonster pup is put in chains befitting a stray mutt."
12,"Weissman: Your trust in me is well placed, sire. Men, bring the girls here!"
13,"Raydrik: What's your name, lass?"
14,Mareeta: Hmph…
15,"Raydrik: Hah! A fighting spirit to match a pretty face. Now, let's have a look at the other one... Ah, you must be Finn's young ward. I hear your mother was royalty of House Nordion, is that right? You certainly don't lack for grace, despite living in this backwater hovel—holy blood doesn't run thin even in squalor, I see."
16,Nanna: ......
17,"Raydrik: What a pleasant surprise the two of you make for. Weissman, I'll be departing for Munster now. Don't disappoint me."
18,"Weissman: All shall be as you wish it, milord."
19,Eyvel: What's that commotion in the village? Something's rotten here...
20,"Halvan: I'll scout ahead, Commander. Hold here a moment."
21,"Halvan: Commander, Fiana is packed to the brim with Imperial troops! They... must have struck while we were away."
22,"Osian: What? No way is the Empire gonna make a mess of our home! Commander, let's move in!"
23,"Halvan: Calm down, Osian. We'll get slaughtered if we just charge in blindly."
24,"Osian: Yeah, Halvan, I'm sure the village will appreciate your patient attitude while everyone's being rounded up and jailed!"
25,"Eyvel: Peace, Osian. Halvan is right. Seems we've finally been noticed by the Empire. Looks like this is goodbye, Little Leif. I'm sorry. Finn, take him as far away from here as you can. Leave the soldiers to us."
26,"Leif: No, Commander! Nanna is still in the village! I won't leave without her!"
27,Eyvel: I'll get her back. Don't worry.
28,"Leif: It's more than that, Commander... I won't run anymore. That's my decision to make."
29,"Eyvel: ...Finn, you wanna weigh in here? You going to let the Little Lord throw himself into harm's way like this?"
30,"Finn: Lord Leif has seen the passing of 15 summers, by now. He's old enough to choose for himself—and as my liege, I will abide by his judgment."
31,"Eyvel: Has it been that long already? Hmph, I suppose I let Little Leif come with us to fight off those pirates, myself... Guess I made up my own mind when I did that. If Finn's all right with it, so am I."
32,"Osian: Then what's the hold-up? If we're done arguing, there's an invasion happening over that ridge!"
33,"Eyvel: All right, get ready to move in. But stay sharp: most foot-soldiers are just regular folk, forced into the Imperial Army against their will. If they surrender, just take their weapons and let them go. Are we clear?"
34,"Osian: But we can still bloody them until they surrender, right? I mean, if we can't put up a good fight ourselves, we'll be the ones surrendering."
35,"Eyvel: Knock 'em around if you have to, sure, but don't overdo it. That means you, Osian."
36,"Osian: Hey, c'mon, gimme some credit, Commander!"
37,"Eyvel: OK, enough chatter! Let's give the Empire a battle worthy of our names as Freeblades!"
38,"Tanya: Papa, the fighting's started already!"
39,"Dagdar: Ain't no good way to go about this damned battle... Don't matter how good Eyvel is, there's only one of her an' over a dozen of them. We need to hurry."
40,"Marty: Oh, fer cryin' out loud! Not again..."
41,Eyvel: Dagdar?! You... came down to fight with us?
42,"Dagdar: Eyvel! Does me heart good to see you in one piece! Listen, ya have any idea why the Empire would come all the way out here? It have anything to do with... the boy?"
43,"Eyvel: Yeah. The Little Lord, Leif, he's... he's not just some nobleman. He's the heir to House Leonster. I've been helping him hide from the Empire. I'm sorry... I shouldn't have kept it from you."
44,"Dagdar: Mm, I figured as much. Well, no use worryin' about it now. Long as I get to cut down some of those Imperial dastards meself, we're even."
45,Osian: Tanya? What do you think you're doing here?
46,"Tanya: What does it look like, Osian? I'm here to help you guys, any way I can!"
47,"Osian: ""Help any way you can,"" huh? In that case, turn tail and march back home. That's the only way a kid like you could help—you'd just get in the way."
