,0
0,"Script Transcription done by FEPlanet
"
1,Advertisement
2,Soldier 1: Find anything?
3,"Soldier 2: Not yet, sir, no."
4,Soldier 1: Someone’s got to be here. Keep looking!
5,Soldier 2: Sir!
6,Soldier 3: We’re wasting our time. There’s no one here.
7,Soldier 4: I know I heard something…
8,"Micaiah: Hush, Yune! Please, don’t cry. If they hear you, you’ll give us away!"
9,Soldier 3: Who’s there?!
10,Soldier 5: Is it the Dawn Brigade?
11,Soldier 3: No. It was just a bird.
12,Soldier 1: Ha ha ha! Thought we didn’t see you?
13,"Soldier 3: Look… Silver hair… If it’s the fortune-teller, we’ll be heroes!"
14,"Soldier 4: Without her, the Dawn Brigade is nothing."
15,"Soldier 1: Oh, the general’s going to love this."
16,Soldier 2: Bind her.
17,Soldier 5: Sir.
18,"Soldier 4: Listen up, lass. f you don’t want to get hurt, don’t struggle."
19,Soldier 5: She’s not alone!
20,Sothe: Micaiah.
21,Micaiah: Sothe…
22,Soldier 3: Got you now!
23,Micaiah: Ekarif Magae Teiodasto Ieraka!
24,Soldier 2: My eyes!
25,"Sothe: Good job, Micaiah. Let’s go."
26,Micaiah: Right. Yune!
27,Edward: Something must have happened to him.
28,Micaiah: Don't worry. He'll be here.
29,"Edward: Hey, I have an idea... Micaiah, why don't you use your farsight to see when Leonardo will arrive?"
30,"Micaiah: Edward, you know that's not how it works. I foresee some things, but I don't get to choose what I see."
31,"Edward: I was just teasing! Still, Leonardo's never late. Something must have--"
32,"???: H-help! Someone, please help us!"
33,Lady: Bandits! Bandits are attacking the town! Run away! Who knows what the brutes will do if they catch you!
34,Micaiah: Where is the Imperial Occupation Army this time? How can they keep the peace when they're nowhere to be found?
35,"Lady: Who, the Begnion soldiers?! Hah! They don't care a lick about us! We lost the war, and they won. We're nothing to them. They're only interested in chasing down the Dawn Brigade. They let the real scoundrels run wild and brutalize us."
36,"Micaiah: They're worse than useless! We'll be glad to help you. Just find someplace to hide, and leave those bandits to us."
37,Edward: And don't worry about us. We happen to be members of that same Dawn Brigade that the Begnion troops are so interested in!
38,"Boy: What! Really?! You guys are in the Dawn Brigade?! Wow, my friends and I talk about you all the time!"
