,0
0,"Generation 1
"
1,"Prologue: Birth of a Holy Knight
"
2,"At the heart of the continent of Jugdral lies Grannvale, a kingdom founded by Saint Heim of the Twelve Crusaders. Supporting the royal family, the heirs of Heim, are six noble houses, each also descended from a Crusader of old. The six states, while still subservient to the royal family, each occupy vast swaths of Grannvale's land and maintain mighty militaries of their own. Owing to King Azmur's advanced age, the governance of Grannvale falls to his son, the highly respected Prince Kurth. Kurth has two trusted advisors in his rule: Lord Byron of House Chalphy, and Lord Ring of House Yugvi. Grannvale's chancellor, Lord Reptor of Friege, has long objected to the thread to his influence posed by Kurth and his advisors, and has allied himself with the avaricious Lord Lombard of House Dozel to form a faction opposed to Kurth's rule over Grannvale. The young duke of House Velthomer, Lord Arvis, leads the Royal Guard in the king's care and so has little time for the circus of politics. Only Father Claud of House Edda, could foresee the oncoming storm. Into the midst of this tense situation, comes dire news from Jugdral's east. Darna, a town in the Aed Desert with deep ties to Grannvale, is now besieged by savage warriors from Isaach. Reports of a brutal massacre abound. The news is met by the people of Grannvale with furious cries for retribution, and before long the kingdom declares war on Isaach. Prince Kurth leads Grannvale's charge on his father's behalf, commanding the military might of the kingdom's six houses. At Kurth's side as always is none other than Lord Byron, a highly decorated hero of peerless valor in his own right. Grannvale has poured its entire military might into the Isaach campaign, and precious few soldiers remain behind. With its neighbors - Agustria to the west and Verdane to the south - bound in alliance with Grannvale, none dare to dream they could ever be threatened. It is not long at all, however, before the people's confidence is shattered. As if from nowhere, a vast horde from Verdane led by Prince Munnir crosses the Grannvale border and lays siege to Yugvi Castle. In Lord Ring's absence, his daughter, Lady Edain, is Yugvi's only guardian. Lord Byron has entrusted the defense of Grannvale in his absence to his son, Sigurd, who remains at Chalphy Castle with a mere handful of soldiers. A friend of Edain since childhood, Sigurd is horrified to hear of the Yugvi siege, and even with so few soldiers, is determined to protect Edain and his fatherland from the savage Verdanite hordes. The year is 757, Grann calendar. And thus the threshold of fate is cast open. Nobody could have known then that this simple disturbance was but the first of countless calamities to come.
"
3,Advertisement
4,"Midir: Milady, the castle is completely surrounded! We've failed you... We couldn't do a thing to save you from them..."
5,"Edain: It's alright, Midir. ...Every one of you did the best you could do. Please, you needn't worry about me. You must ensure that as many of you survive this as possible."
6,"Midir: No, milady. We might not stand a chance, but every last one of us will give our lives to protect you, right to the very end."
7,"Edain: Thank you, Midir. ...I'm so sorry."
8,"Sigurd: Munnir's army already has Yugvi surrounded. Edain is in grave danger! Naoise, I'm going to help her. I'm leaving Chalphy in your hands."
9,"Naoise: Hold, milord. Surely you don't intend to go alone?"
10,"Sigurd: Nearly all of our forces are already on the march to Isaach with Father. There's hardly anybody left to call upon. They may be simple savages, but Verdane's army is still huge. I can't risk your lives by forcing you to face them."
11,"Naoise: Perish the thought, milord! I was born a knight, and I will gladly risk dying a knight's death in your name. To allow our lord to die alone in battle would be an unspeakable disgrace. We shall be by your side, every step of the way. Alec, I trust you're of the same mind?"
12,"Alec: Yeah, of course! But there's more than just Yugvi at stake. We've got to stop by the nearby villages first. Those thugs'll try to beat us to them, and they'll loot, massacre, and burn them all down if they do. We've gotta get there first, and lend the locals a hand in locking the villages down and fortifying their defenses."
13,"Sigurd: Absolutely. We mustn't neglect our knightly duties to the people, especially not at a time like this. Good point, Alec."
14,"Alec: Actually, that was all Oifey's idea. That kid's every bit the tactician they say he is. Give him a few years and he'll be a match for his old grandpa, Lord Sesar!"
15,"Sigurd: Oifey's still around the castle, huh... Oifey! I know you're here. You can come out now!"
16,"Oifey: My apologies for still being here, sire. Still, if you would allow it, I'd like to join you in battle. I can't just sit back while you risk your lives."
17,Sigurd: I don't know... You're still so young. Are you sure you're ready for this?
18,"Oifey: I'm already fourteen, sire. I may not be battle-ready just yet, but there's still so much I can do to support you. Please, allow me to accompany you. I swear I won't let you down."
19,"Sigurd: Fair enough, Oifey. After all, you've already spent two years training as my squire. Real battlefield experience would be fantastic for your training, but you're still definitely not up to actual combat duty for now. How about you ride with me as my advisor instead?"
20,"Oifey: Y-yes! Thank you, sire! Thank you!"
21,"Naoise: Milord, what of the the defense of Chalphy itself in our absence? Leaving the castle unattended is risky. Should the enemy slip past us, an unguarded castle will fall easily and spell us a swift end."
22,"Alec: Naoise, I'd say there's only one man who we can depend upon for that... Eh, Arden?"
23,"Arden: Hold on a moment! why me, Alec?"
24,"Alec: Sturdy as a brick wall! Strong as an ox! Slow as a turtle! Face it, Arden, you were born for guard duty! Haha!"
25,"Arden: Pah... I'm strong and tough, I know, but you really don't need to call me slow!"
26,"Sigurd: He has a point, Arden. Would you? You're the most apt at guard duty."
27,"Arden: Sigh... Fine, I'll do it. But you have to bring me with you at least once! I don't want to be left out of the action."
28,"Sigurd: Right, men, it's time to set out. Let's start by assisting the villages, and then it's onward to Yugvi!"
29,"Munnir: You curs seriously haven't seized this puny castle yet? Useless, the lot of you... Outta my way! I'll do it myself!"
30,"Munnir: Kehehe... You! Not bad for being here all on your lonesome, but I've had enough of your struggling!"
31,"Midir: Urgh... Milady, I... Forgive me..."
32,"Edain: Ah! Midir, I..."
33,"Munnir: Well, well, looks like we have quite the gem here, and Yugvi's princess to boot! You're coming home with me, dearie. Listen up, Dimaggio. I'm heading back. You and Gerrard are in charge."
34,"DiMaggio: Er, yes, sir..."
35,"Munnir: Hah, relax! Won't be long, and I'll be bringing Cimbaeth's lot along for the fun. When I do, all Grannvale's our oyster. Even Belhalla ought to be easy pickings, what with nobody around to stop us! The kingdom's all ours, boys!"
36,"DiMaggio: Leave it to us, sir!"
37,"Munnir: Oi, quit your dawdling! We don't have all day, y'know!"
38,Edain: ...
39,Munnir: Cut the bridge! I'll have none of those Grannvale worms crossing over here!
40,"Barbarian: Yes, sir."
41,"Munnir: Oi, Gerrard. I'm going back to Marpha for now. You're in charge of the border. Stay sharp, we clear?"
42,"Gerrard: Yes, sir. But, er, your lordship... Who's that there dame you have?"
43,"Munnir: The spoils of war, m'boy! She's coming back to Marpha to marry me. Whaddya think? A real keeper, eh?"
44,Gerrard: I'll say! Just looking at her's makin' me mouth water.
45,"Munnir: Back off! This one's mine. You'll have your pick of all Grannvale once we're done here. Keep it in your pants a little longer, yeah?"
46,"Edain: What animals... ...Gods above, I implore you, bestow upon these men a hint of human decency..."
47,"Munnir: Oi, what're you mumbling about now? We're outta here. No dawdling, y'hear?"
48,"DiMaggio: Get to work, boys! Our next stop's Chalphy. Don't forget to milk the villages for all they got!"
49,"Azelle: It looks like we made it just in time, Lex."
50,"Lex: Mm. And by the look of it, Sigurd's staring down the entire Verdane army with just a handful of men! Bet he'll be glad for the help! But geez, Azelle, I can't believe I let you drag me into yet another mess like this."
51,"Azelle: With the war in Isaach going on, there's hardly anyone left to defend Grannvale. Sigurd's few knights are all we have, and they're out here risking their lives on behalf of the entire country. I couldn't just leave them to die..."
52,"Lex: Heh... We both know there's more to it than that. Come on, Azelle. What's the real reason we're here?"
53,Azelle: Er... I... I have no idea what you mean!
54,"Lex: It's that Lady Edain of Yugvi, isn't it? Come on, everybody knows you like her. You just came for her sake, didn't you?"
55,"Azelle: N-no! Of course not, you dolt!"
56,Lex: Really? Then why's your face beet-red? Looks like somebody's got a giiiiiiirlfriend!
57,"Azelle: L-Lex, knock it off! Come on, we've wasted enough time."
58,"Lex: Hahaha, got it. Time to teach these Verdanite thugs a lesson or two!"
59,"Quan: Good, we aren't too late. I pray Sigurd is still unhurt."
60,"Ethlyn: Mm. I'm sure my brother's doing just fine out here, but it won't be easy without a magic user in his ranks. I want to do all I can as a healer to help out and save lives... Quan, I'm sorry I dragged you into this mess as well... I know Chalphy isn't my family anymore, now that we're married, but I couldn't just sit back and do nothing. Thank you so much for coming. Not just from me, but from Sigurd."
61,"Quan: There's no need for thanks, Ethlyn. Sigurd is every bit as important to me as he is you, remember? He is my brother-in-law now, after all. ...And I couldn't possibly leave you to fight all alone."
62,"Ethlyn: Thank you, dear... Thank you so much..."
63,"Finn: Milord, milady, we should hurry. Lord Sigurd still awaits us on the battlefield just ahead."
64,"Oifey: Sire, might I recommend stopping by the castle town once you're rested? To see you unharmed should help to calm and reassure your citizens."
65,"Oifey: Sire, there's a young knight collapsed over there!"
66,"Sigurd: Oh? ...That's Midir! Midir, hold on! What happened here?"
67,Midir: Uh... You... ...Lord... Sigurd?
68,"Sigurd: Are you alright, Midir? Where's Edain?!"
69,Midir: I... don't know. But Munnir...
70,"Sigurd: Munnir... That's all I need to hear. Midir, I'll do all I can to rescue her. You stay here and rest up."
71,"Midir: I can't, sir. I've got to help! I can't stand staying here, knowing those thugs still have her!"
72,"Gerrard: DiMaggio stuffed up, huh? Shoulda known he was worthless! Prince Munnir's not gonna like this. Put the bridge back up, boys! We ain't gonna blow it like DiMaggio!"
73,"Arvis: When His Majesty asked me to observe the battle, I hardly expected to see Chalphy struggle so against simple barbarians. Sigurd... So this is all you've amounted to..."
74,"Arvis: It has been too long, Master Sigurd."
75,Sigurd: Lord Arvis?! Why are you-
76,"Arvis: His Majesty is concerned, and he bade me to come and observe. He also entrusted me with this - a gift for you."
77,"Sigurd: This is... a silver sword! A gift from His Majesty? Oh, what an honor! Lord Arvis, be sure to pass my deepest gratitude for this onto the king!"
78,"Arvis: Very well. Incidentally, Sigurd, rumor has it that my brother, Azelle, is among your forces. I presume this is true?"
79,"Sigurd: Mm, sorry about that. It sounded as if he came behind your back, but I couldn't turn him away. If at all possible, would you mind if he remained with me for a while longer?"
80,"Arvis: I see... So long as you keep him safe, then. He and I may have different mothers, but Azelle is still my only brother. I'd prefer if he remained by my side, but perhaps this is how it must be... I'll entrust Azelle to you, Sigurd. Be sure that he learns from this experience."
81,"Sigurd: You can leave it to me, Lord Arvis. Once we're done here, I'll do what I can to convince him to go home."
82,"Arvis: Good to hear it. Now, I must return to His Majesty's side in the capital. I'm entrusting this crisis to you, Sigurd."
83,"Sigurd: Oh, gods... Azelle... He..."
84,"Arvis: He's dead, isn't he?"
85,"Sigurd: I'm so sorry, Lord Arvis... I couldn't do a thing to save him..."
86,"Arvis: Oh, Azelle... You careless fool..."
87,"Oifey: Sire, we've completed our search of the castle. Lady Edain is nowhere to be found."
88,Sigurd: Blast... Where could she be?
89,Oifey: She was most likely taken deeper into Verdane before we arrived. ...I hope she's alright.
90,"Sigurd: Gah... I won't let them get away with this... They can run, but until they surrender Edain, they won't escape me!"
91,"Oifey: Sire, an envoy from His Majesty is seeking an audience with you."
92,"Filat: Lord Sigurd, you performance in this battle was outstanding. His Majesty is highly pleased, and has thus proclaimed your ordination as a holy knight of the realm."
93,"Sigurd: I hardly deserve such an honor, sir! I pledge my undying fealty to His Majesty."
