,0
0,Advertisement
1,"Tailtean Plains, Imperial Year 91
"
2,"Remire Village (Empire Territory)
"
3,"Great Tree Moon (Nighttime)
"
4,Mounted Knight: Huh?
5,Soldier: Lady Seiros!
6,"Seiros: Tell me, Nemesis, do you recall the Red Canyon?"
7,"Seiros: You'll die for that! Die, die! You took...everything... that I loved!"
8,"Seiros: He's gone now, Mother..."
9,Sothis: Oh my. What could have brought you here?
10,Sothis: I wonder how you got in here… It is most rude to interrupt a moment of repose. Very rude indeed. Now come to me. I wish to have a look at you.
11,"Sothis: Hmm... I have not seen the likes of you before. Who are you, anyway?"
12,"Byleth:
Choice 1: I'm a ghost.
Sothis: Do not deceive. You would do well to keep your wit in line. (Loops back to above choice)
Choice 2: I'm a demon.
Sothis: Do not deceive. You would do well to keep your wit in line. (Loops back to above choice)
Choice 3: I'm a mortal.
Sothis: I see. Then you must have a name of sorts. Go on."
13,"Choice 1: I'm a ghost.
Sothis: Do not deceive. You would do well to keep your wit in line. (Loops back to above choice)"
14,Sothis: Do not deceive. You would do well to keep your wit in line. (Loops back to above choice)
15,"Choice 2: I'm a demon.
Sothis: Do not deceive. You would do well to keep your wit in line. (Loops back to above choice)"
16,Sothis: Do not deceive. You would do well to keep your wit in line. (Loops back to above choice)
17,"Choice 3: I'm a mortal.
Sothis: I see. Then you must have a name of sorts. Go on."
18,Sothis: I see. Then you must have a name of sorts. Go on.
19,Sothis: Huh. I shall not ever grow accustomed to the sound of human names. You must possess a day of birth as well. Beneath which moon and on what day were you born to this world?
20,"Sothis: Well, wonders never cease! It seems we share our day of birth. How strange! Hmm. It all feels so...familiar. I think it may be time for yet another nap... It is almost...time to...begin..."
21,Jeralt: Hey. Time to wake up.
22,Jeralt: Were you having that dream again?
23,"Byleth
Choice 1: I was dreaming about a war...
Jeralt: Massive armies clashing on a vast field, right? There hasn’t been a battle like that in over three centuries…
Choice 2: I was dreaming about a young girl...
Jeralt: You’ve described her to me before. I don’t think I’ve ever met anyone like that."
24,"Choice 1: I was dreaming about a war...
Jeralt: Massive armies clashing on a vast field, right? There hasn’t been a battle like that in over three centuries…"
25,"Jeralt: Massive armies clashing on a vast field, right? There hasn’t been a battle like that in over three centuries…"
26,"Choice 2: I was dreaming about a young girl...
Jeralt: You’ve described her to me before. I don’t think I’ve ever met anyone like that."
27,Jeralt: You’ve described her to me before. I don’t think I’ve ever met anyone like that.
28,"Jeralt: In any case, just put that out of your mind for now. The battlefield is no place for idle thoughts. Risking your life is part of the job for mercenaries like us. Letting your mind wander is a sure way to get yourself killed."
29,"Jeralt: OK, time to get moving. Our next job is in the Kingdom. I told you before. It’s far from here, so we’ll need to leave at dawn."
30,"Byleth
Choice 1: Oh, right... (Relationship with Jeralt down)
Choice 2: Of course. (Relationship with Jeralt up)"
31,"Choice 1: Oh, right... (Relationship with Jeralt down)"
32,Choice 2: Of course. (Relationship with Jeralt up)
33,Jeralt: Hm? Good grief. Everyone is already waiting for us outside.
34,"Mercenary: Jeralt! Sir! Sorry to barge in, but your presence is needed."
35,Jeralt: What's happened?
36,Dimitri: Please forgive our intrusion. We wouldn’t bother you were the situation not dire.
37,Jeralt: What do a bunch of kids like you want at this hour?
38,Dimitri: We’re being pursued by a group of bandits. I can only hope that you will be so kind as to lend your support.
39,Jeralt: Bandits? Here?
40,Edelgard: It's true. They attacked us while we were at rest in our camp.
41,Claude: We’ve been separated from our companions and we’re outnumbered. They’re after our lives…not to mention our gold.
42,Jeralt: I’m impressed you’re staying so calm considering the situation. I… Wait. That uniform…
43,Mercenary: Bandits spotted just outside the village! Damn… There are a lot of them.
44,"Jeralt: I guess they followed you all the way here. We can’t abandon this village now. Come on, let’s move. Hope you’re ready."
45,Jeralt: Let’s take care of those thieves before they overrun the village. Take down the enemies in front first. That should take the wind out of their sails.
46,"Edelgard: You have a strange aura about you… You say you’re a mercenary, so show me what you can do."
47,"Dimitri: Thank you. We are in your debt. It wouldn’t do for us to fall in a place like this. Please, lend us your strength. Let’s work together to drive out these thieves!"
48,Claude: It’s because of you guys that I’m not dead right now. Thanks for that! I didn’t expect to run into mercenaries like you in some remote village. The gods of fortune must be smiling on me!
49,Jeralt: We’ll advance while protecting ourselves from the enemy. Take up position inside the forest.
50,"Jeralt: Yes, good. If we’re in the forest, we can sustain their attacks without losing the advantage."
51,Jeralt: This is a fine opportunity. Use the combat arts I taught you!
52,"Jeralt: Attack when an ally is nearby, and the enemy will be intimidated, making them easier to hit."
53,Kostas: Damn. Why are there mercenaries in the village? Guess we'll have to deal with them too.
54,Kostas: What the?! Aren't you Jeralt the Blade Breaker? What's a renowned mercenary like you doing here?
55,Jeralt: I'm the one who should be complaining. I'm caught up in the mess you started!
56,"Kostas: Hey, you with the blank stare! Outta my way!"
57,Kostas: I'm gonna kill you where you stand...
58,Kostas: You'll die!
59,"Sothis: Honestly! What are you accomplishing with that little stunt?! It’s like you’re trying to get me killed, you fool!"
60,"Sothis: Well, it’s fine. After all, if you don’t know the value of your own life, you’re not going to protect it very well, are you? Course not. (Stands up.) Well then, I guess it’s up to me to guide you from now on, right? You can call me Sothis…but I’m also known as “The Beginning”."
61,"Sothis: Hmm… Sothis… Yes, that is it. My name is Sothis. And I am also called…The Beginning. But who once called me that?"
62,"Byleth
Choice 1: What are you talking about?
Choice 2: Sothis?"
63,Choice 1: What are you talking about?
64,Choice 2: Sothis?
65,"Sothis: I was not able to recall my name…until just now. And just like that, it came to me. How odd. That look upon your face… Did you think me a child? A mere child who forgot her own name?! Phooey! That “child” just saved your life! And what does that make you?"
66,"Byleth
Choice 1: I am no child.
Sothis: Ha! Such arrogance. You look the part but are you truly an adult?
Choice 2: I'm less than a child? (Relationship with Sothis up)
Sothis: Correct! You understand."
67,"Choice 1: I am no child.
Sothis: Ha! Such arrogance. You look the part but are you truly an adult?"
68,Sothis: Ha! Such arrogance. You look the part but are you truly an adult?
69,"Choice 2: I'm less than a child? (Relationship with Sothis up)
Sothis: Correct! You understand."
70,Sothis: Correct! You understand.
71,"Sothis: You threw yourself before an axe to save just one young girl. Yet all is well, as I have stalled the flow of time for now. You would have died had I not intervened."
