,0
0,Advertisement
1,"In an age long past... evil flooded over the land. Creatures awash in the dark tide ran wild, pushing mankind to the brink of annihilation. In its despair, mankind appealed to the heavens, and from a blinding light came hope.
"
2,"These five glorious treasures held the power to dispel evil. The hero Grado and his warriors used the Sacred Stones to combat evil's darkness. They defeated the Demon King and sealed his soul away within the stones. With the darkness imprisoned, peace returned to Magvel. But this peace would not last...
"
3,"Narrator: The continent of Magvel. For some 800 years, a quiet peace reigned in the absence of the terrible darkness. The Sacred Stones have been passed from generation to generation. Nations have been built around their power and their legacy. The kingdom of Renais, ruled by Fado, the peerless Warrior King. The kingdom of Frelia, ruled by Hayden, the venerable Sage King. The kingdom of Jehanna, ruled by Ismaire, Queen of the White Dunes. The theocracy of Rausten, ruled by Mansel, the Divine Emperor. The Grado Empire, ruled by Vigarde, the stalwart Silent Emperor. These five countries house the power of the Sacred Stones. They are joined by the emerging mercantile republic of Carcino. In these times of peace, tales of past conflict have drifted into legend, and memories of the ancient dark arts have all but evaporated. It is now the year 803... In an instant, the whole of Magvel is threatened by an unexpected atrocity. The Grado Empire, the largest of the Sacred Stone nations, has invaded the kingdom of Renais under orders from Emperor Vigarde. A longtime ally of Grado, Renais is caught off guard, unable to mount any resistance. Grado's forces move quickly, seizing one territory after another. Compounding King Fado's worries, his son, Prince Ephraim, has gone missing. Grado's momentum carries its armies to the gates of Castle Renais itself. Renais will fall... It is inevitable."
4,"Soldier: Your Majesty, I bear bad news. The castle gate has been breached. Emperor Vigarde's forces are within the castle walls."
5,Fado: I understand.
6,"Soldier: The garrison has fallen. We've lost contact with Prince Ephraim and can expect no aid from his men. Your Majesty, what are we to do?"
7,Fado: ...What else can we do? Order your men to lay down their arms.(Soldier leaves)
8,Eirika: Father...
9,Fado: Eirika. Are you wearing the bracelet I gave you?
10,"Eirika: Yes, I have it right here."
11,Fado: Good. Seth.
12,"Seth: Yes, Your Majesty?"
13,Fado: Take Eirika and head for Frelia. King Hayden is an honorable man. I trust he will keep you safe.
14,Seth: Understood. And what of Your Majesty?
15,"Fado: Me? I shall remain here. We have long held Grado among our dearest allies, yet now, they attack? I must know why. Am I somehow responsible for this? Have I erred in my leadership? Renais is mine to guide... How could I have failed her so?"
16,"Eirika: Father, you can't stay! You mustn't! If you remain behind, then so shall I!"
17,"Fado: Go now, Seth! Ride! Take her to safety!(Seth grabs Eirika)"
18,Eirika: Father!
19,"Seth: Forgive me, Your Highness."
20,"Fado: Ephraim, Eirika... You must survive."
21,Franz: General Seth!
22,"Seth: Franz, ride ahead and bring word of our coming to Frelia. A single rider has better odds of passing unseen by Grado's men. Convey to the throne all that has happened here and petition for reinforcements."
23,Franz: U-understood!(Franz leaves)
24,"Seth: Princess Eirika, we must— Quickly! Behind me!(Valter appears)"
25,"Valter: You there, with the girl. Tell me, would that be the wayward princess of Renais? Well, this must be my lucky day. You're a dead man. The wench goes with me."
26,Seth: Never!(Fight screen appears)
27,"Valter: I am Valter, the Moonstone, Grado's finest general! And you're just a corpse who does not know he is dead.(Seth misses; Valter does 17 damage)"
28,Seth: Ahhh... No!(Seth takes Eirika and rides off)
29,"Valter: Such terrible wounds, and still he holds to his duty? How entertaining. Fly away, little man. Fly away. Try to outrun death. More time to savor the hunt... and the kill."
