,0
0,Advertisement
1,"Greil: Well, Ike? You had enough?"
2,Mist: Dad! Ike!
3,Greil: Oh... Mist!
4,"Mist: Ike? Oh, no!"
5,Ike: Mother...
6,Ike: Mist... That song...
7,"Mist: Oh, you're up. About time!"
8,Mist: Are you all right?
9,"Ike: Nn... Yeah, I'll be fine."
10,"Greil: So, the sleeping prince awakens!"
11,"Mist: Father! I can't believe you! I know those are practice swords, but they're still heavy! You have no right to be so rough on Ike."
12,"Greil: If this is too much for the boy, he'll never make it as a mercenary."
13,Mist: But--
14,"Ike: Mist, you don't have to worry. I told you, I'm fine."
15,Greil: Ha! You'd better be. Now grab your sword and get ready!
16,Mist: What? Don't tell me you're going at it again! But--
17,Ike: Just until I land a single blow. I'm not giving up until I can get one good hit in on Father.
18,"Greil: I like your resolve, Ike. But it takes more than a strong will to... Hm?"
19,Boyd: Aha! I knew I'd find you here!
20,"Mist: Hi, Boyd. What brings you here?"
21,"Boyd: Nothing special. You said you were going to get the boss, but you never came back. I got picked to check up on you."
22,"Mist: Oh! Sorry, I got caught up with Ike and my father."
23,"Boyd: It's nothing. Besides, I figured I'd get a good laugh watching Ike get worked over by the boss. You...look fine. What happened?"
24,Ike: Nothing at all. I'm sorry to disappoint you.
25,"Mist: You just missed it. Just a minute ago, he was out cold."
26,Ike: Mist!
27,Mist: Ha ha! Sorry.
28,"Greil: You came at just the right time, Boyd. You can be Ike's sparring partner."
29,Boyd: What? Me?
30,Greil: I'm beginning to think it would be better if he sparred with someone closer to his own skill.
31,"Ike: ...I understand. Thanks for your help, Boyd."
32,"Boyd: Hmph! I don't know about this ""to his skill"" business, but I'm ready!"
33,Boyd: All right. I'm ready for you! Let's go!
34,"Mist: Not that way, Ike!"
35,Mist: Did you hear me? Not that way!
36,Mist: Hey! Are you even listening to me?
37,Boyd: Hey! What's the holdup? Let's get started already.
38,Ike: I'm coming. Wait right there!
39,"Boyd: Hurry up, will you? Or are you afraid of me?"
40,Boyd: Come on! What are you doing? Are you sure you really want to learn how to fight?
41,"Boyd: Yaaaawn... You know, I'm getting sleepy."
42,Boyd: Whoa! Come on! What's that all about? You're wasting our time!
43,Mist: Ah!
44,"Mist: I can't believe this! If you throw your weapon away, how do you expect to fight? Let me help... Here you go, Ike. Here's your sword."
45,Ike: Oh...thanks.
46,Mist: Try to be a little more careful!
47,Mist: You can do it! Boyd's got nothing! Take him out!
48,"Boyd: ""Nothing""!? I don't have nothing. I mean, I have-- I mean..."
49,Boyd: Ha ha! I'm not done yet. We're just getting started.
50,Boyd: That--that wasn't too bad.
51,"Mist: Boyd, you're such a loser."
52,Boyd: Shut your trap!
53,"Greil: Good work, Boyd. That's enough."
54,"Boyd: Oh, all right!"
55,"Greil: Your swordsmanship was decent enough, Ike. Don't forget how it felt. It won't always be this easy."
56,Ike: I know.
57,"Greil: Now that you're done warming up, it's time for you to face me again."
58,Ike: I was hoping you'd say that.
59,Greil: But first...Mist!
60,Mist: Right here!
61,"Mist: Here you go, Ike! It's a vulnerary."
62,"Mist: I'd recommend using it now, before you fight Father. Last time, he knocked you silly."
63,"Greil: Always take time to heal your wounds in a battle--even small ones. By the time you think you're in trouble, it's probably too late... Don't get into that situation."
64,"Greil: Get ready, Ike--here I come!"
65,Greil: Give it your all!
66,"Greil: Come on, boy! You going to give me a challenge this time around?"
67,Ike: ...
68,Greil: Ungh...
69,Mist: Ike! You were great!
70,"Ike: Father, you were holding back, weren't you?"
71,Mist: What? Is that true?
72,"Greil: If you could tell the difference, that means you're improving."
73,"Boyd: You know, I wasn't really giving it my all either..."
74,Mist: That is such a lie.
75,Boyd: Bah.
76,"Ike: So, Father, does that mean you finally admit that I'm ready?"
77,"Greil: What, to join the company? To take on a job?"
78,"Ike: Yeah. I mean, Boyd's already out there on the battlefield. I'm ready. I'm tired of being a trainee."
79,"Boyd: Listen, the difference between you and me is that I'm a professional."
80,Mist: A professional who just got beat.
81,Boyd: That was just random chance. Random chance.
82,"Greil: You've got a point, Ike... All right. Tomorrow will be your first day as a full-fledged mercenary."
83,Ike: Really?
84,"Greil: But! If I think it's too much, you're back to trainee status. You'd better work hard."
85,Ike: No problem. Watch--I'll catch up to everyone in no time.
86,Greil: We'll see. We'd better be heading back to the fort. Everyone's waiting.
87,Advertisement
88,"Titania: Good morning, Ike. Today's your first day as a professional soldier, isn't it?"
89,"Ike: Yeah, and I'm ready to go."
90,Greil: What you are is late. The others were suited up and ready at the break of dawn.
91,"Ike: Sorry. I'll get up earlier from now on. So, what's my first job?"
92,Greil: I'm talking with Titania right now. Wait outside until we're done.
93,"Ike: Yes, sir."
94,"Titania: Very well, Commander Greil, shall we continue?"
95,"Greil: You were telling me about some bandits that needed taking care of, weren't you?"
96,"Titania: Correct. The request comes from a nearby village. According to our reports, the bandits are not all that strong. I think it best if I ride out and take a look. I plan on taking Oscar and Boyd along with me."
97,"Greil: Just the brothers? Hm. Go ahead and add Ike to your team. Shinon, Gatrie, and I can handle the other two jobs easily enough. Titania, I'm leaving Ike in your care. I'm trusting you to show him the ropes."
98,"Titania: Understood, Commander."
99,"Titania: Come on, Ike. Let's get you set up."
100,Ike: All right...My first job.
101,"Oscar: Captain Titania. Preparations are complete, and I'm ready to go."
102,"Titania: Impeccable timing. It's nice to know we can always count on you to be at the ready, Oscar."
103,Boyd: Don't forget about me! I'm ready for action!
104,"Titania: Is that so, Boyd? That's a surprise."
105,"Boyd: Ha! Not today it isn't. As of today, I am going to be the absolute model of perfection. I need to set a good example for Ike!"
106,Ike: I'll take your word for it.
107,"Oscar: Your first campaign at last. I know you've wanted this for a while. Are you nervous, Ike?"
108,"Ike: I think I was more nervous last night. I could hardly sleep. This morning, I'm feeling pretty good. It's the calm before the storm."
109,Oscar: You should try to relax. You're not going to be out there alone.
110,"Ike: Yeah, you're right."
111,Titania: Right. Everyone ready? Let's go.
112,"Titania: This is the village of Caldea. The bandits are few, but we mustn't get careless. Our goal is to take out the bandit leader in front of the large building, and then secure that building."
113,"Titania: All right, let me explain what's going on."
114,"Titania: This is a map of Caldea. They've hired us to drive off some bandits. We're the blue marks here. The red marks are the bandits. There aren't many of them, but we can't get careless. The one in front of the building up north is their leader. Our mission is to take him out and recapture that building."
115,"Boyd: Ike! Listen up! All this stuff is old news to me, but I can give a rookie like you a few tips. First off, don't let yourself get worked up and jump out in front of everyone. You'll just end up getting hurt."
116,"Oscar: Don't try to do too much, Ike. When things get dangerous, you can--and should--rely on us. As long as you watch how the enemy moves carefully, you'll be fine. Think of this as a training mission."
117,"Ike: I'll do that. Oscar, Boyd, thanks for your help."
118,Oscar: Don't mention it.
119,Boyd: Just sit back and watch how a professional handles things!
120,"Titania: Enough chitchat, you three! We've got work to do!"
121,"Titania: Ike, before you engage an enemy, take a good look at his weapon. The weapon you use often determines who has the upper hand in a fight. For example, the axe I'm wielding serves me well against lances, but it fares less well against swords."
122,Oscar: And my lance is great against swords but not against axes. And to complete the triangle...
123,"Ike: Ah! My sword. It's strong against axes, but weak against lances. Right?"
124,"Titania: Yes, exactly. If you can remember that, you'll be more effective in combat."
125,"Boyd: That's just the basics, though. This'll come in handy soon enough, so don't forget it."
126,"Ike: Swords over axes...I won't forget. Not if I remember that I'll always have the advantage over you, Boyd."
127,"Boyd: Do you think you could maybe find a different way of remembering? Yeah, thanks."
128,"Titania: And one more thing...Don't forget to visit the locals. We're here to help, after all. The villagers should welcome our presence."
129,"Zawana: What's going on out there? Is that some sort of army? Pah. A bunch of mercenaries looking for their next meal. The villagers must've hired 'em. Listen up, lads! Hurt 'em, and hurt 'em bad! We let this bunch live, and we'll have hordes of hired swords hounding us the rest of our days!"
130,"Bandit: It's those fool villagers... They think they can buy a bunch of sellswords to chase us away. It ain't gonna work out how they wanted. All they get for their trouble is a bunch of ruined houses. Tear'em down, boys! That'll teach 'em!"
131,"Bandit: My work here is done. This house is totalled! Time to move on to bigger things. Now, I smash me some mercenaries."
132,"Man: Ah, you're with the mercenaries, right? Thank you for coming. We've heard a lot about you. Here, take this weapon. We're farmers, not fighters. Maybe you'll get some use out of it."
133,"Woman: Since those bandits took over, we can't even sleep at night. Please! Help us save our village. Here. My mother left me this. I hope it serves you well."
134,"Titania: Despite my own warnings, I let my guard down, and I got beaten. Ha ha...urgh..."
135,"Ike: Titania, you shouldn't move."
136,"Zawana: You looking for something, fool? You looking for a fight? Heh heh... You came to the right place. I'll give you a tussle!"
137,"Zawana: Hey, you're nothing but a boy. Well, every brat needs a beating now and then. Are you ready for it?"
138,"Ike: Not today. If you want to run away, now's your chance."
139,"Zawana: Heh heh heh. Imagine that, you sassing me. Don't that beat all?"
140,Zawana: I...I'm meant for better than this...I don't want to die here...
141,"Titania: That's the end of it. Ike, are you all right?"
142,"Ike: Yeah, I'll be fine."
143,Ike: But...Oscar and Boyd...
144,"Titania: ......Listen to me, Ike. The life we've chosen...It does not forgive even the smallest error. Such a lapse means...someone dies."
145,Ike: ...
146,"Titania: ...We've wasted enough time. Let's get going. Commander Greil, he'll want to hear about this."
147,Ike: But...But Boyd's...
148,"Titania: ...Listen to me, Ike. The life we've chosen...It does not forgive even the smallest error. Such a lapse means...someone dies..."
149,Ike: ...
150,"Titania: ...We've wasted enough time. Let's get going. Commander Greil, he'll want to hear about this..."
151,Ike: But...Oscar's...
152,"Titania: ...Listen to me, Ike. The life we've chosen...It does not forgive even the smallest error. Such a lapse means...someone dies..."
153,Ike: ...
154,"Titania: ...We've wasted enough time. Let's get going. Commander Greil, he'll want to hear about this..."
155,"Titania: I...was lucky. I doubt if I'll ever be able to fight as well again, but...at least I'm still alive."
156,Ike: ...It's better than nothing. Oscar and Boyd...They're not coming back...
157,"Titania: ...Listen to me, Ike. The life we've chosen...It does not forgive even the smallest error. You must never...forget that..."
158,Ike: ...
159,"Titania: ...We've wasted enough time. Let's get going. Commander Greil, he'll want to hear about this..."
160,"Titania: I...was lucky. I doubt if I'll ever be able to fight as well again, but...at least I'm still alive."
161,Ike: ...It's better than nothing.
162,"Titania: You know, you surprised me. To think that you've come so far."
163,"Ike: Look at my father, though. I've still got such a long way to go."
164,"Titania: There's nothing you can do about that. After all, Commander Greil is--"
165,Ike: Huh? What about my father?
166,"Titania: Oh, nothing."
167,"Ike: ""Nothing""? Now I'm really curious."
168,Titania: Don't worry. You'll learn all about it someday.
169,Ike: ...
170,"Boyd: Hey, Ike! that wasn't bad for your first battle. Not as flashy as my first time, though!"
171,"Oscar: Yeah, you were a real standout. I'll never forget the sight of you so keyed up you broke your own axe."
172,Boyd: Oscar! Dang it! You didn't have to bring that up!
173,"Oscar: Anyway, Ike. Congrats on finishing your first mission.Welcome to the group."
174,"Titania: Everyone's all right? Then let's get going. I'm sure Mist has a nice, hot meal waiting for us."
175,"Oscar: Captain! Ike, I'm going on ahead to take Captain Titania back to the base. Boyd, will the two of you be all right?"
176,"Boyd: Yeah, don't worry about us. Just take care of the captain!"
177,Oscar: Look after my horse!
178,Ike: I can't believe it...Captain Titania got beaten.
179,"Boyd: No matter how strong you are, the smallest opening can cost you your life. Did you see that wound? I bet she'll never be able to fight again. Curse those bandits!"
180,Ike: Titania...
181,"Oscar: Well, Ike. Congratulations on completing your first mission. Welcome to the group."
182,Ike: Oscar...About Boyd...
183,"Oscar: ...I know. Nothing we can do. This job we do... Every day, we risk our lives..."
184,Ike: ...
185,"Oscar: Keep your chin up, Ike. My brother--Boyd would want it that way. We... We..."
186,Ike: ...It's all right.
187,"Boyd: Hey, Ike! That wasn't bad for your first battle. Not as flashy as my first time, though!"
188,Ike: Boyd...About Oscar...
189,"Boyd: ...Yeah... Nothing we can do about it. It's our job. Every day, we gamble with our lives..."
190,Ike: ...
191,Boyd: Stop making that face. I won't have to listen to him yapping at me all the time. It's a relief. Every single day... All he ever did was tell me what I was doing wrong... Oscar...
192,Ike: Boyd...
193,"Rhys: Oh, Titania. So this is where you've been, is it?"
194,Titania: Rhys! Are you sure you're well enough to be up?
195,Rhys: Yes. My fever's completely gone.
196,Titania: Are you sure? You still look a bit unsteady on your feet if you ask me.
197,"Rhys: Well, I've been in bed for almost a week. I doubt anyone would be in top form--even you, my friend!"
198,"Titania: I certainly hope that's all it is. In any case, until you're back at full speed, you won't be doing any work. We're mercenaries, after all, and..."
199,"Rhys: ""Even the smallest lapse invites death."" Right? I know, I know. My apologies to the rest of the team, then. It looks like I'll be recuperating for a while longer."
200,"Titania: Mm, it's for the best. Take your time and get fully rested and restored. You are our sole staff wielder, Rhys... The harder our work, the more we depend on you to be at our sides."
201,Rhys: Thank you for your kind words.
202,"Titania: Oh, by the way... That paper you've been carrying around... Is it a letter? I'd intended to go into town this afternoon. I can deliver it for you if you like."
203,"Rhys: Oh, no. This letter is for you, Titania."
204,Titania: For me?
205,"Rhys: Not more than a little while ago, I went out for a walk around the yard and... A man I've never seen before came up to me and said... ""Give this to the red-tressed knight."""
206,Titania: How curious... I wonder what it is.
207,Rhys: I imagine it's a thank-you letter from the people of Caldea or something to that effect.
208,"Titania: Oh, no! How dare they!?"
209,Rhys: Titania? What's the matter? What did the letter say?
210,"Titania: ...Rhys! Take this letter to Oscar, and tell him to prepare for combat and wait for me! I have to go out for a moment."
211,"Rhys: Uh, but, Titania?"
212,Titania: I'll be right back! I'm counting on you!
213,Rhys: What on earth could that letter have said?
214,"Titania: Oh, no! How dare they!?"
215,Rhys: Titania? What's the matter? What did the letter say?
216,Titania: ...Rhys! Take this letter to Ike. Tell him to prepare for combat and wait for me here! I have to go out for a moment.
217,"Rhys: Uh, but, Titania?"
218,Titania: I'll be right back! I'm counting on you!
219,Rhys: What on earth could that letter have said?
220,Rhys: Everyone! Come quickly!
221,"Boyd: Hey, Rhys. So, how are you feeling?"
222,Oscar: What is it? Why are you so agitated?
223,Ike: Has something happened?
224,Rhys: It's Mist and Rolf... They... They've been taken by bandits!
225,Boyd: What?!?
226,Ike: What are you talking about?
227,"Oscar: The two of them went out early this morning to gather wildflowers... Sure, they're not back yet, but..."
228,"Rhys: Earlier, by the gate... a man asked me to deliver a letter to Titania. It was from a group of bandits--kidnappers. What are we going to do?"
229,Oscar: Let me see it.
230,"Rhys: Oh, if only I'd known... He didn't seem like a bad person..."
231,"Oscar: Hm. I get it. They're after revenge. They want retribution for the other day at that village... Caldea, was it? Hm. Taking children as hostages? What cowards!"
232,Ike: Blast!
233,"Boyd: Wait, Ike! Where... Where do you think you're going?"
234,Ike: I'm going to get Mist!
235,Rhys: But... No! Titania... She said she'd be right back. You're supposed to get ready and wait for her...
236,Ike: And do you honestly think we've got time to wait? I'm going!
237,"Boyd: What do you think you're going to do on your own, rookie? Hold it! I'm going, too!"
238,Rhys: Stop! Both of you! I...I'm going with you.
239,"Oscar: Oh, c'mon! Wait! This is crazy! Do you think you can just ignore the deputy commander's orders?"
240,Rhys: Ike! Come quickly!
241,"Ike: What is it, Rhys? Why the panic? Has something happened?"
242,Rhys: It's Mist and Rolf... They... They've been taken by bandits!
243,"Ike: What are you talking about? The two of them went out early this morning to gather wildflowers... Sure, they're not back yet, but..."
244,"Rhys: Earlier, by the gate... a man asked me to deliver a letter to Titania. It was from a group of bandits--kidnappers. Wha-what are we going to do?"
245,Ike: Let me see it.
246,"Rhys: Oh, if only I'd known...He didn't seem like a bad person..."
247,"Ike: If they want a rematch after what we did to them at Caldea, they're going to get one. Filthy bandits!"
248,Rhys: Hey! Ike? Where... Where do you think you're going?
249,Ike: I'm going to get Mist!
250,Rhys: But... No! Titania... She said she'd be right back. You're supposed to get ready and wait for her...
251,Ike: And do you honestly think we've got time to wait? I'm going!
252,"Rhys: Wait! I...I'm going, too!"
253,Rhys: O-Oscar! Come quickly!
254,Oscar: Rhys? What is it? Why are you so agitated?
255,Ike: Has something happened?
256,Rhys: It's Mist and Rolf... They... They've been taken by bandits!
257,Ike: What are you talking about?
258,"Oscar: The two of them went out early this morning to gather wildflowers... Sure,they're not back yet, but..."
259,"Rhys: Earlier, by the gate... a man asked me to deliver a letter to Titania. It was from a group of bandits--kidnappers. What are we going to do?"
260,Oscar: Let me see it.
261,"Rhys: Oh, if only I'd known...He didn't seem like a bad person..."
262,"Oscar: Hm. I get it. They're after revenge. They want retribution for the other day at that village... Caldea, was it? Hm. Taking children as hostages? What cowards!"
263,Ike: Blast!
264,Oscar: Hey! Ike? Where... Where do you think you're going?
265,Ike: I'm going to get Mist!
266,Rhys: But... No! Titania... She said she'd be right back. You're supposed to get ready and wait for her...
267,Ike: And do you honestly think we've got time to wait? I'm going!
268,"Rhys: Hold it, Ike! I...I'm going with you!"
269,"Oscar: Oh, c'mon! Wait! This is crazy! Do you think you can just ignore the deputy commander's orders?"
270,"Rhys: L-listen, everybody! Come quickly!"
271,"Boyd: Hey, Rhys. Tell me, how are you feeling?"
272,Ike: Has something happened?
273,Rhys: It's Mist and Rolf... They... They've been taken by bandits!
274,Boyd: What?!?
275,"Ike: What are you talking about? The two of them went out early this morning to gather wildflowers... Sure, they're not back yet, but..."
276,"Rhys: Earlier, by the gate... a man asked me to deliver a letter to Titania. It was from a group of bandits--kidnappers. Wha-what are we going to do?"
277,Ike: Let me see it.
278,"Rhys: Oh, if only I'd known... He didn't seem like a bad person..."
279,"Ike: If they want a rematch after what we did to them at Caldea, they're going to get one. Filthy bandits!"
280,Boyd: Hey! Ike? Where... Where do you think you're going?
281,Ike: I'm going to get Mist!
282,Rhys: But... No! Titania... She said she'd be right back. You're supposed to get ready and wait for her...
283,Ike: And do you honestly think we've got time to wait? I'm going!
284,"Boyd: What do you think you're going to do on your own, rookie? Hold it! I'm going, too!"
285,"Rhys: Wait, both of you! I...I'm going with you."
286,"Boyd: The road forks here... Well, which way do we go?"
287,Ike: How am I supposed to know that?
288,"Boyd: Hold it! Are you saying you don't know where we're going? Unbelievable! You'd better learn to think before you act, you moron!"
289,"Ike: Shut your mouth, Boyd!"
290,Boyd: You think you can make me? Come on!
291,"Rhys: B-both of you, this is no time to be fighting."
292,Oscar: I figured we'd find you like this.
293,Boyd: What are you two doing? So you're coming after all? It's not like you two chambermaids to be disobeying orders. What's the world coming to?
294,"Ike: Oscar, you know this road, don't you? Which way do we go?"
295,"Oscar: You're going to the bandit stronghold, right? It's the left fork."
296,Ike: Got it!
297,Boyd: I'm still talking here! Let me finish what I--
298,"Rhys: Come on, Oscar. Let's go, too!"
299,Oscar: I guess we've no choice.
300,Boyd: Uh... HEY! You're not leaving me behind!
301,"Ikanau: So you came, did you, boys? Is it just you, then? You came alone? You seriously underestimate what we're capable of doing to you. Now, where's that snobby, red-haired wench you ride with?"
302,Ike: Titania's not here. It's just us. All I want to know right now is whether Mist and Rolf are safe.
303,"Ikanau: Yeah, of course. We've got 'em locked up safe and sound in that little shack back there. We got no problem with those brats. What we're after is a little revenge. We want the redhead and her pups. And that'd be you boys."
304,"Boyd: Then hurry up and let those two go! We're here, aren't we? You've got no more reason to hold them."
305,"Ikanau: You're here, but Red ain't. We'll just keep the brats until she arrives."
306,Boyd: Dang it!
307,"Ikanau: If you're so impatient, I guess we can start by killing you whelps. You all ready to die? Hey! Come on out! It's time to play, lads!"
308,"Ikanau: So you came, did you, boys? Is it just you, then? You came alone? You seriously underestimate what we're capable of doing to you. Now, where's that snobby, red-haired wench you ride with?"
309,Ike: Titania's not here. It's just us. All I want to know right now is whether Mist and Rolf are safe.
310,"Ikanau: Yeah, of course. We've got 'em locked up safe and sound in that little shack back there. We got no problem with those brats. What we're after is a little revenge. We want the redhead and her pups. And that'd be you boys."
311,"Ike: Then hurry up and release them! We're here, aren't we? You don't need hostages anymore."
312,"Ikanau: You're here, but Red ain't. We'll just keep the brats until she arrives."
313,Ike: Dang it!
314,"Ikanau: If you're so impatient, I guess we can start by killing you whelps. You all ready to die? Hey! Come on out! It's time to play, lads!"
315,Rhys: There... There are so many... But...we must not lose!
316,"Oscar: Rhys, move to the rear! If anyone gets injured, we'll need you on hand with your staff."
317,Rhys: Understood!
318,"Ikanau: Take 'em, lads! Without the red-haired knight, they're no match for us!"
319,"Boyd: What'd you say, dirtbag?"
320,Ike: We'll make you regret those words!
321,Rhys: There... There are so many...But...we must not lose!
322,"Ike: Rhys, get back! I'll take the lead, but if I get hurt, I'll need you to heal me with your staff."
323,Rhys: Understood!
324,"Ikanau: Take 'em, lads! Without the red-haired knight, they're no match for us!"
325,Ike: I'll make you regret those words!
326,Rhys: There...There are so many... But...we must not lose!
327,"Oscar: Rhys, move to the rear! If anyone gets injured, we'll need you on hand with your staff."
328,Rhys: Understood!
329,"Ikanau: Take 'em, lads! Without the red-haired knight, they're no match for us!"
330,Ike: We'll make you regret those words!
331,Rhys: There... There are so many... But...we must not lose!
332,"Ike: Rhys, get back! I'll take the lead, but if I get hurt, I'll need you to heal me with your staff."
333,Rhys: Understood!
334,"Ikanau: Take 'em, lads! Without the red-haired knight, they're no match for us!"
335,"Boyd: What'd you say, dirtbag?"
336,Ike: We'll make you regret those words!
337,Rolf: Oh...sniff...
338,"Mist: Keep your chin up, Rolf! Boys aren't supposed to cry!"
339,"Rolf: But...I'm so scared... Aren't you even a bit scared, Mist?"
340,"Mist: Of course I am, but... Listen, we'll be fine! My brother will definitely come rescue us."
341,Rolf: Mm...yeah. You're right! And I'm sure that my brothers will be right there with him.
